klm,woj,wojewodztwo,trb,zut,d21,d32,d345,d347,d348,d36,d38,d61,d63,los,dochg,wydg
1,02,dolnośląskie,11,5,2,1,1,2,1,69,2,3,3,1,1191.41,1037.29
1,02,dolnośląskie,6,1,2,1,2,2,1,74,3,4,2,2,821,887.01
1,02,dolnośląskie,3,1,1,3,1,2,1,83,3,4,1,4,6669.87,6792.13
1,02,dolnośląskie,12,5,2,1,3,3,2,44,2,4,1,3,1872.59,1806.83
1,02,dolnośląskie,1,5,1,3,1,2,1,110,5,4,2,2,1731.44,2795.08
1,02,dolnośląskie,12,1,1,1,2,3,1,36,1,3,3,4,2200,2359.31
1,02,dolnośląskie,12,1,1,1,1,1,1,59,2,3,3,5,3600.55,6274.59
1,02,dolnośląskie,12,5,1,1,2,2,1,32,2,3,3,6,1938.4,1237.12
1,02,dolnośląskie,12,5,1,1,1,2,1,63,3,3,2,2,2532,2703.61
1,02,dolnośląskie,8,1,2,1,2,3,1,46,2,4,2,5,2368.46,1835.71
1,02,dolnośląskie,11,5,2,1,2,3,2,36,2,3,3,1,995.5,906.05
1,02,dolnośląskie,2,1,2,1,2,3,1,42,2,3,2,3,1725.2,991.81
1,02,dolnośląskie,2,1,2,3,2,4,2,25,1,5,1,3,1518,1518.38
1,02,dolnośląskie,1,5,1,3,1,2,2,150,8,3,3,2,2121.46,6809.17
1,02,dolnośląskie,3,1,2,1,2,3,1,38,1,4,2,4,2200,2205.82
1,02,dolnośląskie,12,1,2,1,1,1,1,80,2,3,3,3,4298.14,2401.78
1,02,dolnośląskie,3,1,1,1,2,4,2,17,1,5,1,4,920.9,794.04
1,02,dolnośląskie,1,7,1,2,1,2,1,64,3,3,4,2,3274.31,3404.62
1,02,dolnośląskie,12,1,2,1,1,2,1,80,3,4,2,3,1734,1667.24
1,02,dolnośląskie,11,5,1,3,1,2,2,30,1,3,3,1,771.11,744.64
1,02,dolnośląskie,11,5,2,1,1,1,2,27,2,4,2,1,963.29,1058.8
1,02,dolnośląskie,1,5,2,2,1,1,1,78,4,3,4,2,2518,3064.78
1,02,dolnośląskie,6,1,2,1,1,2,1,40,2,5,1,2,1449,1483.47
1,02,dolnośląskie,11,6,2,1,1,1,1,25,1,3,3,1,925,1191.92
1,02,dolnośląskie,11,1,2,1,1,1,1,64,3,5,1,1,503.83,601.01
1,02,dolnośląskie,4,1,2,1,1,1,1,52,2,5,1,5,1437.1,1412.49
1,02,dolnośląskie,11,7,2,1,1,1,1,29,1,5,1,1,1108.3,1062.27
1,02,dolnośląskie,1,5,2,1,1,1,1,52,2,4,2,2,2045.37,2023.05
1,02,dolnośląskie,2,1,2,1,1,1,1,51,2,3,3,3,2965.86,2519.08
1,02,dolnośląskie,12,6,2,1,1,1,1,64,3,2,4,2,2385.8,2042.44
1,02,dolnośląskie,12,5,2,1,1,1,1,63,3,3,3,3,4451.65,3683.57
1,02,dolnośląskie,3,4,2,1,1,1,1,64,3,3,3,4,3606,3331.42
1,02,dolnośląskie,2,1,2,1,1,1,1,86,4,2,4,3,4524.9,4077.54
1,02,dolnośląskie,1,6,1,1,1,1,1,52,2,3,3,2,1752.92,1434.04
1,02,dolnośląskie,11,1,2,1,3,1,2,50,1,5,1,1,80,837.14
1,02,dolnośląskie,1,5,2,1,1,1,1,52,2,3,3,2,1878,1852.56
1,02,dolnośląskie,2,6,2,1,1,1,1,52,2,5,1,3,859,932.85
1,02,dolnośląskie,12,6,2,1,1,1,1,52,2,3,3,2,2560.8,3078.06
1,02,dolnośląskie,1,5,1,1,1,1,1,35,1,3,3,2,2446,2209.24
1,02,dolnośląskie,9,1,2,1,1,1,1,54,2,3,3,3,2990.3,3556.56
1,02,dolnośląskie,11,5,1,1,1,1,1,64,3,2,4,1,1841.6,1887.86
1,02,dolnośląskie,12,1,1,1,1,1,1,34,2,3,3,2,1225.7,1601.31
1,02,dolnośląskie,6,1,2,1,1,1,1,34,1,3,3,2,1710.7,1598.87
1,02,dolnośląskie,2,1,2,1,1,1,1,53,2,2,5,3,6000,10482.91
1,02,dolnośląskie,6,1,2,1,1,1,1,35,2,3,3,3,1841,1282.76
